d_4_bw_4_r_725.npz, elapsed time 10.82 sec
d_4_bw_4_r_756.npz, elapsed time 11.22 sec
d_4_bw_4_r_787.npz, elapsed time 11.21 sec
d_4_bw_4_r_818.npz, elapsed time 11.19 sec
d_4_bw_4_r_849.npz, elapsed time 11.23 sec
d_4_bw_4_r_881.npz, elapsed time 11.17 sec
d_4_bw_4_r_911.npz, elapsed time 11.18 sec
d_4_bw_4_r_943.npz, elapsed time 11.21 sec
d_4_bw_4_r_975.npz, elapsed time 11.17 sec
d_4_bw_4_r_1003.npz, elapsed time 7.16 sec
d_4_bw_4_r_1022.npz, elapsed time 6.41 sec
d_4_bw_4_r_1040.npz, elapsed time 8.27 sec
d_4_bw_4_r_1064.npz, elapsed time 11.23 sec
d_4_bw_4_r_1094.npz, elapsed time 11.20 sec
d_4_bw_4_r_1125.npz, elapsed time 11.14 sec
d_4_bw_4_r_1156.npz, elapsed time 11.14 sec
d_4_bw_4_r_1186.npz, elapsed time 11.13 sec
d_4_bw_4_r_1217.npz, elapsed time 11.11 sec
d_4_bw_4_r_1248.npz, elapsed time 11.10 sec
d_4_bw_4_r_1279.npz, elapsed time 11.12 sec
d_4_bw_4_r_1312.npz, elapsed time 11.10 sec
d_4_bw_4_r_1341.npz, elapsed time 11.01 sec
d_6_bw_4_r_374.npz, elapsed time 20.56 sec
d_6_bw_4_r_407.npz, elapsed time 20.62 sec
d_6_bw_4_r_441.npz, elapsed time 20.61 sec
d_6_bw_4_r_471.npz, elapsed time 20.61 sec
d_6_bw_4_r_500.npz, elapsed time 20.59 sec
d_6_bw_4_r_530.npz, elapsed time 20.61 sec
d_6_bw_4_r_561.npz, elapsed time 20.57 sec
d_6_bw_4_r_593.npz, elapsed time 20.61 sec
d_6_bw_4_r_623.npz, elapsed time 20.59 sec
d_6_bw_4_r_653.npz, elapsed time 20.58 sec
d_6_bw_4_r_684.npz, elapsed time 20.56 sec
d_6_bw_4_r_716.npz, elapsed time 20.57 sec
d_6_bw_4_r_746.npz, elapsed time 20.58 sec
d_6_bw_4_r_778.npz, elapsed time 20.57 sec
d_6_bw_4_r_807.npz, elapsed time 20.54 sec
d_6_bw_4_r_838.npz, elapsed time 20.54 sec
d_6_bw_4_r_867.npz, elapsed time 20.52 sec
d_6_bw_4_r_897.npz, elapsed time 20.53 sec
d_6_bw_4_r_928.npz, elapsed time 19.44 sec
d_6_bw_4_r_957.npz, elapsed time 19.85 sec
d_6_bw_4_r_985.npz, elapsed time 18.83 sec
d_6_bw_4_r_1011.npz, elapsed time 20.59 sec
d_6_bw_4_r_1041.npz, elapsed time 20.59 sec
d_6_bw_4_r_1074.npz, elapsed time 20.63 sec
d_6_bw_4_r_1103.npz, elapsed time 20.65 sec
d_6_bw_4_r_1133.npz, elapsed time 20.64 sec
d_6_bw_4_r_1165.npz, elapsed time 20.64 sec
d_6_bw_4_r_1196.npz, elapsed time 20.64 sec
d_6_bw_4_r_1225.npz, elapsed time 20.63 sec
d_6_bw_4_r_1256.npz, elapsed time 20.65 sec
d_6_bw_4_r_1286.npz, elapsed time 20.62 sec
d_6_bw_4_r_1317.npz, elapsed time 20.62 sec
d_6_bw_4_r_1348.npz, elapsed time 17.25 sec
d_8_bw_4_r_374.npz, elapsed time 41.75 sec
d_8_bw_4_r_406.npz, elapsed time 41.78 sec
d_8_bw_4_r_436.npz, elapsed time 32.50 sec
d_8_bw_4_r_455.npz, elapsed time 41.42 sec
d_8_bw_4_r_486.npz, elapsed time 31.12 sec
d_8_bw_4_r_513.npz, elapsed time 28.04 sec
d_8_bw_4_r_537.npz, elapsed time 28.08 sec
d_8_bw_4_r_547.npz, elapsed time 32.22 sec
d_8_bw_4_r_574.npz, elapsed time 37.26 sec
d_8_bw_4_r_604.npz, elapsed time 28.32 sec
d_8_bw_4_r_626.npz, elapsed time 28.86 sec
d_8_bw_4_r_638.npz, elapsed time 28.65 sec
d_8_bw_4_r_664.npz, elapsed time 29.73 sec
d_8_bw_4_r_687.npz, elapsed time 38.01 sec
d_8_bw_4_r_715.npz, elapsed time 41.25 sec
d_8_bw_4_r_745.npz, elapsed time 41.31 sec
d_8_bw_4_r_774.npz, elapsed time 41.29 sec
d_8_bw_4_r_804.npz, elapsed time 41.87 sec
d_8_bw_4_r_832.npz, elapsed time 41.84 sec
d_8_bw_4_r_862.npz, elapsed time 41.77 sec
d_8_bw_4_r_894.npz, elapsed time 41.81 sec
d_8_bw_4_r_923.npz, elapsed time 33.05 sec
d_8_bw_4_r_947.npz, elapsed time 41.19 sec
d_8_bw_4_r_976.npz, elapsed time 41.26 sec
d_8_bw_4_r_1006.npz, elapsed time 41.25 sec
d_8_bw_4_r_1036.npz, elapsed time 41.13 sec
d_8_bw_4_r_1064.npz, elapsed time 41.29 sec
d_8_bw_4_r_1093.npz, elapsed time 41.30 sec
d_8_bw_4_r_1123.npz, elapsed time 41.33 sec
d_8_bw_4_r_1152.npz, elapsed time 41.23 sec
d_8_bw_4_r_1181.npz, elapsed time 41.34 sec
d_8_bw_4_r_1211.npz, elapsed time 41.29 sec
d_8_bw_4_r_1239.npz, elapsed time 41.29 sec
d_8_bw_4_r_1271.npz, elapsed time 41.26 sec
